category_name,positionLevels,required_qualification,skills
Accounting / Auditing / Taxation,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Financial reporting, GAAP/IFRS, Tax preparation, Microsoft Excel, Auditing, Analytical thinking, Attention to detail."
Sales / Retail,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Negotiation, Customer service, Client relationship management (CRM), Product knowledge, Persuasion, Sales forecasting."
Building and Construction,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Project coordination, Site supervision, Safety compliance (OSHA), Technical drawing interpretation, Budgeting, Vendor management."
Human Resources,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Recruitment, Payroll administration, Employee relations, Labor law knowledge, HRIS (e.g., Workday, SAP), Talent management."
Sales / Retail,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Negotiation, Customer service, Client relationship management (CRM), Product knowledge, Persuasion, Sales forecasting."
Building and Construction,Manager,"Bachelor's Degree, 5-8 years experience, Team management skills.","Project coordination, Site supervision, Safety compliance (OSHA), Technical drawing interpretation, Budgeting, Vendor management."
Admin / Secretarial,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Office administration, Microsoft Office Suite, Scheduling, Verbal & Written Communication, Organization, Multi-tasking."
Engineering,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Technical analysis, Problem-solving, CAD/CAM software, Project management, Technical documentation, Quality assurance."
Admin / Secretarial,Fresh/entry level,"Diploma or Bachelor's Degree in related field, 0-1 years experience.","Office administration, Microsoft Office Suite, Scheduling, Verbal & Written Communication, Organization, Multi-tasking."
Sales / Retail,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Negotiation, Customer service, Client relationship management (CRM), Product knowledge, Persuasion, Sales forecasting."
Marketing / Public Relations,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Social media management, Digital marketing (SEO/SEM), Content creation, Market research, Communication, Branding, Analytics."
Admin / Secretarial,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Office administration, Microsoft Office Suite, Scheduling, Verbal & Written Communication, Organization, Multi-tasking."
Others,Professional,"Specialized Certification or Professional License (e.g., CPA, PE, PMP).","Problem-solving, Adaptability, Teamwork, Communication, Time management, Industry-specific technical knowledge."
Accounting / Auditing / Taxation,Junior Executive,"Diploma or Bachelor's Degree in related field, 1-2 years experience.","Financial reporting, GAAP/IFRS, Tax preparation, Microsoft Excel, Auditing, Analytical thinking, Attention to detail."
F&B,Executive,"Bachelor's Degree in related field, 2-4 years experience.","Culinary skills, Customer service, Food safety & hygiene standards, Team coordination, Inventory management."
Admin / Secretarial,Non-executive,"Bachelor's Degree in related field, 2-4 years experience.","Office administration, Microsoft Office Suite, Scheduling, Verbal & Written Communication, Organization, Multi-tasking."
